[2025-04-24 23:46:10] INFO | uav_logger | Lancement du script : attacks/gps_spoofing.py
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #15 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #16 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #17 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #18 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #19 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #20 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #21 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #22 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Injection GPS Spoof #19 : Latitude=48.852898165434766, Longitude=2.403118129806473, Altitude=22.96355778569974
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #23 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #24 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #25 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #26 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #27 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #28 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #29 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #30 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #31 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | GPS normal : 48.85018, 2.34991
